#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,70.30677032470703,62.807711362838745,152.60669415055355
1000,90.56451416015625,72.30711561068892,175.68781981503471
1500,81.11892700195312,84.60401126742363,205.56613497362363
2000,112.09526824951172,80.40037935972214,195.35238327115886
2500,96.672119140625,96.13000500202179,233.57135539115544
3000,85.16404724121094,123.40776454284787,299.8493428712432
3500,107.7229995727539,94.47939902544022,229.56080452143698
4000,105.90843963623047,109.00214543938637,264.84736841827754
4500,109.58753967285156,116.0594869107008,281.9949053697055
5000,135.89761352539062,103.81563991308212,252.24548490129322
5500,104.7428207397461,135.3997756242752,328.98686639572264
6000,118.94265747070312,118.97767598927021,289.0853593684834
6500,121.24565887451172,126.03583087027073,306.23487269766
7000,136.61990356445312,100.54463016614318,244.29776680771627
7500,123.8234634399414,112.88476178050041,274.2811342985434
8000,95.56663513183594,164.40127989277244,399.45311322711325
8500,103.95403289794922,156.19442975521088,379.51256386292636
9000,111.72793579101562,120.64746177196503,293.14251226750497
9500,97.78902435302734,135.80151072144508,329.9629800571356
10000,101.96514129638672,121.11523887515068,294.2790911328626
10500,102.09575653076172,144.49212843179703,351.07896104299516
11000,110.44205474853516,120.16746348142624,291.9762390388265
11500,99.85591125488281,127.29539491981268,309.2952915777724
12000,100.12762451171875,121.57017695903778,295.3844744610995
12500,111.35858154296875,117.20125107467175,284.7691006202949
13000,122.2951431274414,96.70063275843859,234.95783507028668
13500,96.97589874267578,145.1994844675064,352.79765551306497
14000,162.62632751464844,101.97798466682434,247.78045208868627
14500,108.89002990722656,130.34770652651787,316.7116290578266
15000,101.2377700805664,124.98360320925713,303.6782282768276
15500,147.19810485839844,98.98052728176117,240.4973963545093
16000,123.87693786621094,121.80871042609215,295.96404985178907
16500,126.29886627197266,130.8462756872177,317.9230247569992
17000,91.61727142333984,142.90690326690674,347.22726884391744
17500,125.88838195800781,142.90798616409302,347.22990000745
18000,141.04421997070312,125.47330118715763,304.86806926797414
18500,117.32386779785156,141.34148828685284,343.4237103334075
19000,138.56817626953125,137.2628744840622,333.51372068954083
19500,175.9651336669922,144.7353849709034,351.670012292245
20000,149.50668334960938,147.24609918892384,357.7704064708425
