#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,49.97957229614258,71.51885045692325,173.77253685662026
1000,90.49713134765625,67.90693534910679,164.9965058216407
1500,96.45040130615234,73.0655375868082,177.530591475318
2000,89.94241333007812,90.83278454840183,220.7004628833298
2500,73.69945526123047,98.98898133635521,240.51793754755346
3000,116.3177490234375,98.2276314906776,238.66805191217844
3500,111.402587890625,111.43851509690285,270.7671243064421
4000,101.00926971435547,118.2910772189498,287.41709975078896
4500,102.09576416015625,114.78342387080193,278.89439815775364
5000,131.06918334960938,90.18705982528627,219.13151675891726
5500,122.90239715576172,91.41312503069639,222.1105420051924
6000,124.52542114257812,123.37127262353897,299.76067682931773
6500,112.71949768066406,116.81785839796066,283.837554354958
7000,130.9984893798828,122.2782319933176,297.1048673191337
7500,106.83531188964844,147.9129019677639,359.39056688619866
8000,101.80351257324219,119.34312808513641,289.9733146053547
8500,110.45233917236328,110.4517924785614,268.3696404057987
9000,92.63971710205078,101.4673348814249,246.5397035575337
9500,110.13912200927734,90.17396483570337,219.09969927939412
10000,94.37223052978516,93.67998561263084,227.6184341414102
10500,105.42281341552734,88.27431476861238,214.48403488896776
11000,114.5790023803711,84.3817058969289,205.02598971204694
11500,83.86688232421875,124.67924004793167,302.93870354549705
12000,117.92333221435547,126.96184232831001,308.4848439876587
12500,108.56151580810547,127.55375343561172,309.92303677252994
13000,117.94618225097656,125.54802434146404,305.0496274446338
13500,97.53688049316406,155.82629936933517,378.6181010655111
14000,138.70559692382812,126.36769995093346,307.0412297864918
14500,105.87975311279297,137.01677298545837,332.91575691546757
15000,155.45494079589844,122.88314431905746,298.5746497436005
15500,131.2758331298828,162.57792603969574,395.02282914659276
16000,150.14894104003906,168.2363391816616,408.7713276190967
16500,134.9050750732422,160.17713993787766,389.18953220882497
17000,132.80821228027344,144.61802074313164,351.3848471998838
17500,124.69567108154297,141.1880014538765,343.0507765380516
18000,119.10572814941406,102.12479794025421,248.13717083912954
18500,123.19147491455078,133.6459440290928,324.7255036421685
19000,128.59744262695312,111.38834944367409,270.64523458409707
19500,120.57438659667969,142.1339261829853,345.3491319898308
20000,131.83709716796875,123.16685456037521,299.26399315517676
