#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,79.51070404052734,73.54769830405712,178.70211884850218
1000,79.20013427734375,82.65436133742332,200.8289836889767
1500,72.60363006591797,74.53333443403244,181.0969628599634
2000,70.32650756835938,78.98036435246468,191.90210955158577
2500,95.61893463134766,81.0181364864111,196.85337528068027
3000,95.70655822753906,96.65863071382046,234.8557808314416
3500,76.50902557373047,103.29435232281685,250.97888922178308
4000,96.41363525390625,92.5761126279831,224.9363047771349
4500,103.74891662597656,97.81409683823586,237.66326834569475
5000,108.88752746582031,88.55007313191891,215.15405726831327
5500,98.7396011352539,112.38758492469788,273.0731215446018
6000,104.04408264160156,96.57277034595609,234.6471620708783
6500,113.55219268798828,89.02911393344402,216.31800404328257
7000,108.40528869628906,108.85826698690653,264.497780533032
7500,123.10997772216797,85.96653266251087,208.87671390257802
8000,116.21360778808594,87.52676843106747,212.66768825219822
8500,112.28726959228516,95.64312833547592,232.38836946588629
9000,82.61962127685547,101.31847348809242,246.1780083989268
9500,98.72451782226562,84.37132743746042,205.00077270675422
10000,86.89414978027344,97.99638741649687,238.10618788406953
10500,104.39691162109375,110.28953015804291,267.975384417446
11000,139.41412353515625,91.36424115300179,221.99176666996107
11500,111.92835235595703,122.2843621969223,297.11976214791
12000,116.8736801147461,121.42686215043068,295.0362560864798
12500,124.41964721679688,127.23856434226036,309.1572077919006
13000,122.59855651855469,136.37181356549263,331.3486702822095
13500,125.52094268798828,127.99668651819229,310.99925101431376
14000,148.94039916992188,121.49839255213737,295.21005668992257
14500,113.64173126220703,159.36240178346634,387.2099266214671
15000,127.8953628540039,126.55318132042885,307.49190213246675
15500,126.04551696777344,123.52456696331501,300.1331429153699
16000,148.42904663085938,116.08133283257484,282.04798537923824
16500,103.34420776367188,138.04311990737915,335.4095177516345
17000,110.40702056884766,128.1368686556816,311.3398577983695
17500,86.01337432861328,119.90331238508224,291.3344193530809
18000,128.1827850341797,107.02748221158981,260.04944120972476
18500,110.79937744140625,117.82041338086128,286.27350685704437
19000,106.63770294189453,139.89496391266584,339.90902562411094
19500,148.78976440429688,121.7377028465271,295.7915195725937
20000,125.08003234863281,141.1116651892662,342.86529891542847
