#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,62.79059600830078,56.97855598479509,138.4433356611135
1000,87.31761932373047,70.41423052549362,171.0885926024753
1500,92.04100036621094,60.21583658084273,146.30910053426035
2000,76.31669616699219,98.39381204545498,239.07182820885285
2500,92.40011596679688,80.66581661999226,195.9973280066897
3000,103.28463745117188,105.80053554661572,257.0682742418813
3500,107.32904052734375,115.3462792634964,280.26199297851855
4000,111.86283874511719,109.63454718142748,266.3839431020837
4500,132.9011688232422,119.60742447711527,290.61548732237674
5000,158.82192993164062,128.44525572657585,312.0891596020297
5500,112.08245086669922,164.38828814029694,399.4215465873888
6000,124.59517669677734,154.90686151385307,376.3841019504754
6500,146.1915740966797,142.90338599681854,347.2187227761027
7000,130.38876342773438,144.98144401609898,352.26787291538113
7500,146.2301483154297,127.01667736563832,308.6180791205543
8000,133.92214965820312,124.78707483410835,303.2007145291132
8500,119.07548522949219,119.27573812007904,289.80957420528
9000,87.12786102294922,112.29776223003864,272.85487534211796
9500,110.78155517578125,107.70823237672448,261.7034902108656
10000,98.10027313232422,118.29779434204102,287.4334206439867
10500,102.54534912109375,151.35523143410683,367.754548133674
11000,116.56796264648438,124.00596675276756,301.30282142839076
11500,117.46179962158203,117.52311998605728,285.5511598523631
12000,101.16242218017578,135.11071449518204,328.2845216937561
12500,127.52147674560547,123.33542135357857,299.67356740165286
13000,106.38712310791016,131.37986481189728,319.2195100226639
13500,107.28402709960938,113.70069932937622,276.2636541080602
14000,107.9913558959961,120.74356116354465,293.37600924009996
14500,111.98220825195312,102.75708812475204,249.67347446660335
15000,94.99386596679688,108.69180686958134,264.09332497078174
15500,96.5321044921875,120.21695432066917,292.09648913556975
16000,137.44520568847656,107.05216172337532,260.1094061188914
16500,138.42723083496094,130.0734008550644,316.04513634858847
17000,133.5059051513672,137.59869088977575,334.32966876988735
17500,122.69912719726562,169.2846513390541,411.31845836635966
18000,154.2187042236328,153.2038716673851,372.24627165858544
18500,152.90126037597656,137.2941178828478,333.58963416734855
19000,135.0340576171875,150.14675012230873,364.8182472570058
19500,117.28136444091797,149.65597131848335,363.6257801349627
20000,114.05625915527344,140.1313296854496,340.48333407146845
