#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,63.643714904785156,74.95785579830408,182.12844132959776
1000,72.17152404785156,90.47799433022738,219.83841328563355
1500,73.84303283691406,102.79031620919704,249.75421022356818
2000,89.27460479736328,75.09244276583195,182.45545327995404
2500,82.27098083496094,109.11372464895248,265.11847739420324
3000,84.2182846069336,102.66392812877893,249.44711947445273
3500,88.5901870727539,108.9380062520504,264.6915265776427
4000,97.56575012207031,115.7205882370472,281.1714681656414
4500,89.15560913085938,104.10440389811993,252.94710761911176
5000,98.12158966064453,113.10999044775963,274.8283824244909
5500,112.73825073242188,111.99540376663208,272.1202215146228
6000,122.00897979736328,111.9890048801899,272.10467385518746
6500,126.02133178710938,120.96326929330826,293.90984387017477
7000,134.8358154296875,122.08544489741325,296.63644392425965
7500,107.79019165039062,114.97527813911438,279.36055501987363
8000,123.14005279541016,108.9294005446136,264.67061690693095
8500,85.03167724609375,134.22753104567528,326.138611523919
9000,124.20333099365234,82.0050410144031,199.25130117530506
9500,99.71077728271484,101.78453287482262,247.3104136520947
10000,96.5005874633789,93.28019711375237,226.64705021657966
10500,105.73736572265625,116.38375243544579,282.7827877600135
11000,92.50851440429688,129.93980842549354,315.72054087140936
11500,113.1714859008789,99.90056569129229,242.73285466247034
12000,119.30099487304688,108.70958104729652,264.1365116821505
12500,105.09774017333984,137.5898067355156,334.30808254452506
13000,112.35399627685547,115.83390173316002,281.4467910148457
13500,108.03572845458984,138.49032193422318,336.49610443746104
14000,120.46012878417969,110.19111424684525,267.7362588939426
14500,103.95317077636719,120.1295123770833,291.8840275500225
15000,106.1362533569336,129.70456552505493,315.1489607170087
15500,134.23785400390625,112.50295090675354,273.3534314103321
16000,129.59503173828125,127.1716443002224,308.9946091847195
16500,132.63319396972656,137.28452569246292,333.56632759507363
17000,102.44340515136719,171.01225573569536,415.51609572729325
17500,105.7217788696289,150.50907942652702,365.69861490790123
18000,115.21509552001953,143.60741356015205,348.9293299085697
18500,127.3671646118164,150.4554452598095,365.56829758382304
19000,119.33121490478516,143.80916848778725,349.419542843684
19500,127.10977172851562,131.1284584850073,318.6086568709931
20000,114.10118865966797,129.03889015316963,313.5315396125524
