#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,95.24854278564453,65.85028812289238,159.99937844004683
1000,93.96428680419922,87.78062868118286,213.28450381044294
1500,103.00284576416016,85.58788427710533,207.95669505316692
2000,101.89008331298828,108.67214113473892,264.04554225879906
2500,131.32232666015625,91.78453162312508,223.01296514761242
3000,135.7550048828125,124.8723232448101,303.40784639009803
3500,129.45765686035156,145.37125703692436,353.21501897681526
4000,142.04229736328125,130.4802971072495,317.03379029825237
4500,123.74930572509766,138.6606379598379,336.90992887184893
5000,146.02789306640625,159.01949226856232,386.3767440977486
5500,190.0154571533203,118.00293290615082,286.7169826782132
6000,167.00936889648438,131.39770603179932,319.26285962942046
6500,141.60800170898438,127.73532563447952,310.36421083249184
7000,141.92950439453125,109.39537073671818,265.80280543994365
7500,132.81187438964844,107.186627343297,260.43612322556334
8000,117.11874389648438,141.96724443137646,344.94413791288855
8500,132.9149932861328,129.79774883389473,315.37537235347
9000,134.6365203857422,117.87763694673777,286.4125455041536
9500,162.20640563964844,81.58095571398735,198.2208822294464
10000,121.70915222167969,130.05100848525763,315.99072861017135
10500,115.14344787597656,136.3629975616932,331.3272496450576
11000,150.89126586914062,115.14671124517918,279.77709367439286
11500,131.59034729003906,126.41769763454795,307.1627113855826
12000,147.56195068359375,127.10737065970898,308.83844065721007
12500,155.04505920410156,112.26721151918173,272.7806449190272
13000,145.40440368652344,142.06011521816254,345.16979020059426
13500,150.6000518798828,134.76806846261024,327.45197936479735
14000,138.57533264160156,130.43907588720322,316.9336332636523
14500,119.44015502929688,125.96671186387539,306.06693116882406
15000,117.3218002319336,134.24065577983856,326.1705012751741
15500,147.1376495361328,110.45147030055523,268.36885759554525
16000,143.6343994140625,128.80971291661263,312.97469747188785
16500,153.9308319091797,122.39111959934235,297.3791553642192
17000,151.34356689453125,129.54512263089418,314.76155521447254
17500,152.33163452148438,133.49215373024344,324.3518325022627
18000,153.25914001464844,125.85517984628677,305.79593685734835
18500,146.7127227783203,149.9760736823082,364.40354710772954
19000,142.32008361816406,148.96926522254944,361.9572597434442
19500,136.27890014648438,138.83040042221546,337.3224082889802
20000,142.19720458984375,125.77004492282867,305.5890807413748
