#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,70.29873657226562,62.81424206495285,152.62256208839892
1000,90.53636932373047,72.32582959346473,175.73329001262408
1500,81.10665893554688,84.58177497982979,205.51210647511215
2000,112.12602233886719,80.35988499224186,195.2539923026171
2500,96.78382110595703,95.8939688205719,232.9978477665439
3000,85.13850402832031,123.22377660870552,299.40229919167257
3500,107.43871307373047,94.89440256357193,230.56915710491506
4000,106.5543212890625,108.31853161752224,263.18636146281574
4500,109.34828186035156,116.34622003138065,282.6915936059261
5000,135.13253784179688,104.12534934282303,252.99799969914932
5500,94.98876190185547,134.835610806942,327.61609000758295
6000,118.13338470458984,109.95796187222004,267.169758183236
6500,122.82481384277344,118.68469975888729,288.3735019705098
7000,139.42913818359375,95.21976705640554,231.35970970694297
7500,98.31636047363281,125.52614077925682,304.9964559787068
8000,96.74607849121094,119.83659039437771,291.17230196004704
8500,96.48655700683594,111.35788459330797,270.57121278006565
9000,110.1373062133789,69.23516920208931,168.22377478215952
9500,101.60539245605469,90.29307283461094,219.38910129016259
10000,108.77676391601562,101.53142507374287,246.6954263527907
10500,90.29705810546875,108.15902528166771,262.7988018131701
11000,120.53142547607422,101.05842787027359,245.54616397723768
11500,97.43315124511719,120.77376328408718,293.44939267777545
12000,103.2856674194336,116.0970727801323,282.08622943097527
12500,118.24053955078125,107.31607180461287,260.7506401994966
13000,111.9998779296875,124.52354952692986,302.56041535117953
13500,119.91393280029297,98.17687287926674,238.54472145292428
14000,111.31774139404297,113.1308379471302,274.8790365223909
14500,123.7100830078125,118.38347598910332,287.6416051586559
15000,118.3827896118164,134.3222690820694,326.3688007511764
15500,113.17329406738281,126.47849550843239,307.31043468808105
16000,107.33553314208984,121.5099398046732,295.23811356379645
16500,93.61769104003906,124.96232315897942,303.62652319072
17000,117.35440826416016,103.44900250434875,251.35464965694726
17500,110.1744155883789,108.85527561604977,264.49051226600676
18000,131.78274536132812,86.13735845685005,209.29177694474404
18500,109.29231262207031,99.84480493888259,242.5973702784043
19000,97.86453247070312,114.49118673056364,278.18433656002816
19500,94.49549102783203,117.23597426712513,284.85346910778924
20000,102.10777282714844,116.5208331644535,283.1158589137253
