#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,67.935302734375,76.48858635127544,185.84772554256182
1000,95.91024017333984,85.68636587262154,208.19598017278508
1500,97.30435180664062,95.36157612502575,231.7042695180413
2000,110.97463989257812,88.79561039805412,215.75065010162305
2500,111.9358139038086,96.16913372278214,233.6664281870273
3000,103.89064025878906,109.77878800034523,266.7344114452055
3500,117.47893524169922,98.85111755505204,240.18296377679735
4000,107.48323822021484,125.05137059092522,303.8428857028539
4500,133.72618103027344,90.33908965438604,219.50091040705004
5000,116.44412994384766,132.9092384427786,322.93549726157977
5500,142.33355712890625,119.85238164663315,291.2106706690942
6000,144.5186004638672,123.95781835727394,301.18583312702617
6500,133.92942810058594,156.21166774630547,379.5544477777779
7000,167.88743591308594,124.50502391858026,302.5154028553249
7500,133.06861877441406,153.84982860088348,373.81578199490923
8000,133.4561767578125,126.79959420859814,308.09062250363843
8500,112.07041931152344,124.66863095760345,302.9129261661307
9000,117.8611068725586,126.83674520254135,308.1808899285623
9500,121.65579223632812,123.05988934636116,299.00409500978043
10000,123.57254028320312,128.304463326931,311.74707003682965
10500,130.67283630371094,106.27293476462364,258.2160836655208
11000,126.50971984863281,98.20363998413086,238.60975867998857
11500,109.73552703857422,131.28981664776802,319.00071598696485
12000,127.91143798828125,135.35800278186798,328.8853690596995
12500,127.77442169189453,118.16535747051239,287.11163287765874
13000,148.85044860839844,101.2620040923357,246.04080219255306
13500,152.9871826171875,109.46601921319962,265.9744631903801
14000,146.3677215576172,122.13980363309383,296.7685217658243
14500,117.89634704589844,112.33565828204155,272.946953067799
15000,142.5588836669922,107.72118569910526,261.73496347527697
15500,112.92610931396484,133.9643594622612,325.49917180437285
16000,146.84039306640625,112.21250162273645,272.6477138465097
16500,127.16461944580078,119.81186750158668,291.1122316461188
17000,126.2297592163086,139.40795356035233,338.72571487657694
17500,164.61776733398438,116.01732094585896,281.8924528465908
18000,149.55282592773438,119.5931538939476,290.5808134507523
18500,143.58505249023438,132.65873527526855,322.32683855648696
19000,174.23313903808594,98.96066749095917,240.44914213611713
19500,128.13351440429688,141.98325992375612,344.9830514681546
20000,143.41297912597656,114.74997317790985,278.8131215191286
