#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,63.64414596557617,74.9569620192051,182.12626967470638
1000,72.17442321777344,90.46971672028303,219.81830080801473
1500,73.8462905883789,102.78336925804615,249.73733090689575
2000,89.28234100341797,75.0813745111227,182.428560248437
2500,82.24934387207031,109.14670860767365,265.19861998802196
3000,84.24208068847656,102.65382509678602,249.42257168756666
3500,88.60942840576172,108.91653883457184,264.63936623710066
4000,97.59117126464844,115.74803048372269,281.23814581483987
4500,89.29693603515625,104.09740108251572,252.93009256608855
5000,98.04009246826172,113.17194347083569,274.9789124444378
5500,112.8106689453125,112.83023738861084,274.1486539547084
6000,122.97370147705078,113.39357139915228,275.5174116945767
6500,125.37681579589844,125.08809465169907,303.9321157892378
7000,125.34109497070312,130.2632181495428,316.5063438846442
7500,106.53067779541016,125.6466372050345,305.2892315120909
8000,96.09291076660156,141.78080961108208,344.4911489250345
8500,83.62690734863281,126.1241534948349,306.4494741130113
9000,109.03223419189453,79.10162652283907,192.1967456487276
9500,108.26371765136719,86.15867249667645,209.34356461677223
10000,90.41141510009766,89.70473758131266,217.95959691705465
10500,86.10710144042969,94.65905475616455,229.99732205337918
11000,91.46983337402344,83.5847711712122,203.08964190846558
11500,95.11782836914062,92.07638244330883,223.72208808629227
12000,103.37010955810547,113.23481225222349,275.13166752314845
12500,89.99531555175781,123.8183692842722,300.8470075024111
13000,104.25322723388672,99.44146555662155,241.6173586140404
13500,97.62482452392578,111.11709532886744,269.9861563779794
14000,90.04939270019531,119.96686886250973,291.48884535749346
14500,101.5093765258789,79.73917797207832,193.7458328055136
15000,76.00656127929688,108.52099069207907,263.6782852950728
15500,98.81742858886719,115.34740848094225,280.2647366884492
16000,145.8483428955078,76.11971372365952,184.95145928732612
16500,109.28885650634766,117.72256108373404,286.0357507717548
17000,119.25578308105469,125.15649372711778,304.09830806970956
17500,107.34552764892578,142.66249161958694,346.6334109767856
18000,127.96942901611328,134.0967582464218,325.8208670281262
18500,109.83370208740234,176.56881389021873,429.01711259954357
19000,155.50448608398438,125.5643459558487,305.08928479817206
19500,176.87692260742188,137.52633062005043,334.1538517991521
20000,155.27960205078125,140.41306491196156,341.16787870159146
