#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
500,58.35749053955078,73.72310528438538,179.12831300234083
1000,70.58126068115234,81.82320806384087,198.80949355533562
1500,80.94963073730469,75.98025625571609,184.6126132651473
2000,80.59275817871094,86.09677281975746,209.19316421435948
2500,86.92134094238281,93.3676709830761,226.8595893735143
3000,87.23357391357422,107.37279841303825,260.88847136694926
3500,93.47016906738281,115.55073252506554,280.75876217579304
4000,94.99742889404297,128.49670480191708,312.21416771225313
4500,95.54998016357422,125.15484461188316,304.09430114096205
5000,84.7372817993164,144.05077377706766,350.0065819776746
5500,116.37609100341797,130.2690839767456,316.5205963462998
6000,103.69671630859375,151.16400253772736,367.2899107655977
6500,91.0204086303711,120.6722366809845,293.2027089675806
7000,116.18816375732422,126.0661134198308,306.30845155730225
7500,99.1044692993164,108.49252367019653,263.6091177039038
8000,92.97965240478516,98.45210757106543,239.21347144427955
8500,108.4987564086914,75.1922034136951,182.69784617003666
9000,102.05926513671875,101.02124267816544,245.45581345950913
9500,116.51454162597656,94.59509161859751,229.84190796871027
10000,92.83406066894531,93.31746700406075,226.73760652929832
10500,93.23219299316406,100.00254355370998,242.98063481752487
11000,76.54301452636719,105.93729620054364,257.4005676949135
11500,79.56863403320312,101.59691169857979,246.85454212234495
12000,80.87052154541016,136.60988333821297,331.9271190141199
12500,124.10797882080078,99.65918490290642,242.14636100830393
13000,107.52521514892578,111.64793038368225,271.2759499574099
13500,104.72935485839844,127.63381442427635,310.11756452311056
14000,109.52716827392578,135.05144238471985,328.14050560661184
14500,82.02888488769531,148.7354717850685,361.38920141376
15000,114.8753662109375,133.47832585126162,324.31823428871945
15500,128.67276000976562,127.90354841947556,310.77294922690237
16000,130.59390258789062,144.870008058846,351.997112005982
16500,114.86131286621094,146.53348737955093,356.0389418133771
17000,114.31822967529297,153.77784258127213,373.6408743563474
17500,131.1127471923828,132.67881077528,322.37561689315436
18000,110.02693939208984,111.1164839565754,269.984670899487
18500,120.31156921386719,148.79401326179504,361.5314422475697
19000,120.17772674560547,139.24476251006126,338.3292023121244
19500,135.41091918945312,134.23115214705467,326.1474098752472
20000,123.5499038696289,142.69645953178406,346.7159443261964
